ID_REF,normal_mean,cancer_mean,difference,p_value,adjusted_p_value
219291_at,6.513061521647059,5.072453212230769,-1.44060830941629,4.163928199847443e-12,1.1272968116045316e-10
219295_s_at,10.857103227117648,5.120906125307692,-5.736197101809956,3.2212512022643e-18,2.3758468833565303e-16
219296_at,4.762817080647059,6.469263701538462,1.7064466208914029,7.591099607816688e-11,1.6869488008755172e-09
219298_at,8.95857350264706,5.9690549906442305,-2.989518512002829,1.8098745416307142e-13,6.228319206031699e-12
219300_s_at,4.010226104470588,5.598096542201923,1.5878704377313353,0.002391772894500564,0.010376009284551806
219301_s_at,4.787216355,6.161937664413461,1.3747213094134612,0.0010310717220821965,0.004999987873791577
219304_s_at,8.560162698941175,5.94450312925,-2.615659569691175,2.579402278877281e-08,3.5767580533242664e-07
219306_at,2.700846595117647,3.716364934201923,1.015518339084276,0.0016322443096153318,0.007446984317999692
219313_at,4.278467437235293,5.626175427461538,1.3477079902262448,1.803489915312161e-06,1.7177344566656134e-05
219317_at,6.417350517999999,4.88145005375,-1.5359004642499992,4.621459134334969e-06,4.038985077547931e-05
219332_at,5.036843456588235,7.250528524057693,2.2136850674694584,5.0724898509663e-16,2.5587007724204225e-14
219343_at,6.0215750028823525,4.531609285557693,-1.4899657173246599,1.4808454157782705e-09,2.591313303871825e-08
219352_at,3.796334708,5.505437429673076,1.7091027216730765,0.0002211379268445712,0.0012923746556644021
219353_at,6.3112705920000005,5.221432318326923,-1.0898382736730774,1.9539725001358292e-05,0.0001493134342429922
219359_at,5.467979198411765,7.42776287076923,1.9597836723574646,1.9798475416881385e-05,0.00015096130061161903
219360_s_at,3.9656327927647057,5.686846198932693,1.721213406167987,1.739629905326377e-09,3.001982247778417e-08
219366_at,7.570780587764706,6.368790693201924,-1.2019898945627823,9.497537081341054e-08,1.177034687471647e-06
219371_s_at,9.647178669294119,7.7102139486057695,-1.9369647206883496,5.328111723279636e-10,1.0132509050344227e-08
